index,H_name,H_SUPER_PATHWAY,H_SUB_PATHWAY,BRCA_Tang#H_name,BRCA_Terunuma#H_name,COAD#H_name,DLBCL#H_name,GBM#H_name,HCC#H_name,LiCa1#H_name,LiCa2#H_name,OV#H_name,PDAC#H_name,PRAD#H_name,RC12#H_name,RC18Flow#H_name,RC18MR#H_name,RC20#H_name
phenylacetylcarnitine#Peptide#Acetylated Peptides,phenylacetylcarnitine,Peptide,Acetylated Peptides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phenylacetylcarnitine,phenylacetylcarnitine,phenylacetylcarnitine
phenylacetylglutamate#Peptide#Acetylated Peptides,phenylacetylglutamate,Peptide,Acetylated Peptides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phenylacetylglutamate
3-hydroxyphenylacetoylglutamine#Peptide#Acetylated Peptides,3-hydroxyphenylacetoylglutamine,Peptide,Acetylated Peptides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-hydroxyphenylacetoylglutamine
4-hydroxyphenylacetylglutamine#Peptide#Acetylated Peptides,4-hydroxyphenylacetylglutamine,Peptide,Acetylated Peptides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4-hydroxyphenylacetylglutamine
N6-carboxymethyllysine#Carbohydrate#Advanced Glycation End-product,N6-carboxymethyllysine,Carbohydrate,Advanced Glycation End-product,NA,NA,NA,NA,NA,N6-carboxymethyllysine,NA,NA,NA,NA,NA,NA,N6-carboxymethyllysine,N6-carboxymethyllysine,N6-carboxymethyllysine
alanine#Amino acid#Alanine and Aspartate Metabolism,alanine,Amino acid,Alanine and Aspartate Metabolism,alanine,alanine,alanine,alanine,alanine,alanine,NA,NA,alanine,alanine,alanine,alanine,alanine,alanine,alanine
asparagine#Amino acid#Alanine and Aspartate Metabolism,asparagine,Amino acid,Alanine and Aspartate Metabolism,asparagine,asparagine,asparagine,asparagine,NA,asparagine,NA,NA,asparagine,asparagine,asparagine,asparagine,asparagine,asparagine,asparagine
aspartate#Amino acid#Alanine and Aspartate Metabolism,aspartate,Amino acid,Alanine and Aspartate Metabolism,aspartate,aspartate,aspartate,aspartate,aspartate,aspartate,NA,NA,aspartate,aspartate,aspartate,aspartate,aspartate,aspartate,aspartate
beta-alanine#Amino acid#Alanine and Aspartate Metabolism,beta-alanine,Amino acid,Alanine and Aspartate Metabolism,beta-alanine,beta-alanine,beta-alanine,beta-alanine,NA,beta-alanine,NA,NA,beta-alanine,NA,beta-alanine,beta-alanine,beta-alanine,beta-alanine,beta-alanine
N-acetylalanine#Amino acid#Alanine and Aspartate Metabolism,N-acetylalanine,Amino acid,Alanine and Aspartate Metabolism,N-acetylalanine,N-acetylalanine,NA,N-acetylalanine,NA,N-acetylalanine,NA,NA,N-acetylalanine,N-acetylalanine,N-acetylalanine,N-acetylalanine,N-acetylalanine,N-acetylalanine,N-acetylalanine
N-acetylaspartate (NAA)#Amino acid#Alanine and Aspartate Metabolism,N-acetylaspartate (NAA),Amino acid,Alanine and Aspartate Metabolism,N-acetylaspartate (NAA),N-acetylaspartate (NAA),N-acetylaspartate (NAA),N-acetylaspartate (NAA),N-acetylaspartate (NAA),N-acetylaspartate (NAA),NA,NA,N-acetylaspartate (NAA),N-acetylaspartate (NAA),N-acetylaspartate (NAA),N-acetylaspartate (NAA),N-acetylaspartate (NAA),N-acetylaspartate (NAA),N-acetylaspartate (NAA)
N-methylalanine#Amino Acid#Alanine and Aspartate Metabolism,N-methylalanine,Amino Acid,Alanine and Aspartate Metabolism,NA,NA,NA,NA,N-methylalanine,NA,NA,NA,NA,NA,NA,NA,NA,NA,N-methylalanine
hydroxyasparagine**#Amino Acid#Alanine and Aspartate Metabolism,hydroxyasparagine**,Amino Acid,Alanine and Aspartate Metabolism,NA,NA,NA,NA,NA,hydroxyasparagine**,NA,NA,NA,NA,NA,NA,NA,NA,hydroxyasparagine**
N-acetylasparagine#Amino Acid#Alanine and Aspartate Metabolism,N-acetylasparagine,Amino Acid,Alanine and Aspartate Metabolism,NA,NA,NA,NA,NA,N-acetylasparagine,NA,NA,NA,NA,NA,N-acetylasparagine,N-acetylasparagine,N-acetylasparagine,N-acetylasparagine
N,N-dimethylalanine#Amino Acid#Alanine and Aspartate Metabolism,N,N-dimethylalanine,Amino Acid,Alanine and Aspartate Metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N-dimethylalanine
erythronate*#Carbohydrate#Aminosugar Metabolism,erythronate*,Carbohydrate,Aminosugar Metabolism,erythronate*,erythronate*,NA,erythronate*,NA,erythronate*,NA,NA,erythronate*,erythronate*,erythronate*,erythronate*,erythronate*,erythronate*,erythronate*
fucose#Carbohydrate#Aminosugar Metabolism,fucose,Carbohydrate,Aminosugar Metabolism,fucose,fucose,NA,fucose,NA,NA,NA,NA,NA,NA,fucose,fucose,NA,NA,NA
Isobar: UDP-acetylglucosamine, UDP-acetylgalactosamine#Carbohydrate#Aminosugar Metabolism,Isobar: UDP-acetylglucosamine, UDP-acetylgalactosamine,Carbohydrate,Aminosugar Metabolism,Isobar: UDP-acetylglucosamine, UDP-acetylgalactosamine,NA,NA,Isobar: UDP-acetylglucosamine, UDP-acetylgalactosamine,NA,NA,NA,NA,NA,NA,Isobar: UDP-acetylglucosamine, UDP-acetylgalactosamine,NA,NA,NA,NA
N-acetylglucosamine 6-phosphate#Carbohydrate#Aminosugar Metabolism,N-acetylglucosamine 6-phosphate,Carbohydrate,Aminosugar Metabolism,N-acetylglucosamine 6-phosphate,N-acetylglucosamine 6-phosphate,N-acetylglucosamine 6-phosphate,N-acetylglucosamine 6-phosphate,NA,N-acetylglucosamine 6-phosphate,NA,NA,N-acetylglucosamine 6-phosphate,NA,NA,N-acetylglucosamine 6-phosphate,N-acetylglucosamine 6-phosphate,N-acetylglucosamine 6-phosphate,N-acetylglucosamine 6-phosphate
N-acetylneuraminate#Carbohydrate#Aminosugar Metabolism,N-acetylneuraminate,Carbohydrate,Aminosugar Metabolism,N-acetylneuraminate,N-acetylneuraminate,N-acetylneuraminate,N-acetylneuraminate,NA,N-acetylneuraminate,NA,NA,N-acetylneuraminate,N-acetylneuraminate,N-acetylneuraminate,N-acetylneuraminate,N-acetylneuraminate,N-acetylneuraminate,N-acetylneuraminate
glucuronate#Carbohydrate#Aminosugar Metabolism,glucuronate,Carbohydrate,Aminosugar Metabolism,NA,glucuronate,glucuronate,NA,NA,glucuronate,NA,NA,NA,NA,NA,glucuronate,glucuronate,glucuronate,glucuronate
N-acetylglucosamine#Carbohydrate#Aminosugar Metabolism,N-acetylglucosamine,Carbohydrate,Aminosugar Metabolism,NA,N-acetylglucosamine,N-acetylglucosamine,N-acetylglucosamine,NA,NA,NA,NA,NA,N-acetylglucosamine,N-acetylglucosamine,N-acetylglucosamine,NA,NA,NA
N-acetylmannosamine#Carbohydrate#Aminosugar Metabolism,N-acetylmannosamine,Carbohydrate,Aminosugar Metabolism,NA,N-acetylmannosamine,NA,N-acetylmannosamine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6-sialyl-N-acetyllactosamine#Carbohydrate#Aminosugar Metabolism,6-sialyl-N-acetyllactosamine,Carbohydrate,Aminosugar Metabolism,NA,6-sialyl-N-acetyllactosamine,NA,NA,NA,NA,NA,NA,NA,NA,6-sialyl-N-acetyllactosamine,NA,NA,NA,NA
glucosamine#Carbohydrate#Aminosugar Metabolism,glucosamine,Carbohydrate,Aminosugar Metabolism,NA,NA,NA,glucosamine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N-acetyl-glucosamine 1-phosphate#Carbohydrate#Aminosugar Metabolism,N-acetyl-glucosamine 1-phosphate,Carbohydrate,Aminosugar Metabolism,NA,NA,NA,NA,NA,N-acetyl-glucosamine 1-phosphate,N-acetyl-glucosamine 1-phosphate,N-acetyl-glucosamine 1-phosphate,NA,NA,NA,NA,N-acetyl-glucosamine 1-phosphate,N-acetyl-glucosamine 1-phosphate,N-acetyl-glucosamine 1-phosphate
N-acetylglucosamine/N-acetylgalactosamine#Carbohydrate#Aminosugar Metabolism,N-acetylglucosamine/N-acetylgalactosamine,Carbohydrate,Aminosugar Metabolism,NA,NA,NA,NA,NA,N-acetylglucosamine/N-acetylgalactosamine,NA,NA,NA,NA,NA,NA,N-acetylglucosamine/N-acetylgalactosamine,N-acetylglucosamine/N-acetylgalactosamine,N-acetylglucosamine/N-acetylgalactosamine
N-acetylglucosaminylasparagine#Carbohydrate#Aminosugar Metabolism,N-acetylglucosaminylasparagine,Carbohydrate,Aminosugar Metabolism,NA,NA,NA,NA,NA,N-acetylglucosaminylasparagine,NA,NA,NA,NA,NA,NA,N-acetylglucosaminylasparagine,N-acetylglucosaminylasparagine,N-acetylglucosaminylasparagine
glucosamine-6-phosphate#Carbohydrate#Aminosugar Metabolism,glucosamine-6-phosphate,Carbohydrate,Aminosugar Metabolism,NA,NA,NA,NA,NA,NA,glucosamine-6-phosphate,glucosamine-6-phosphate,NA,NA,NA,NA,NA,NA,glucosamine-6-phosphate
N-acetylgalactosamine#Carbohydrate#Aminosugar Metabolism,N-acetylgalactosamine,Carbohydrate,Aminosugar Metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N-acetylgalactosamine,NA,NA,NA,NA
5alpha-androstan-3beta,17beta-diol disulfate#Lipid#Androgenic Steroids,5alpha-androstan-3beta,17beta-diol disulfate,Lipid,Androgenic Steroids,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5alpha-androstan-3beta,17beta-diol disulfate,5alpha-androstan-3beta,17beta-diol disulfate,5alpha-androstan-3beta,17beta-diol disulfate
androstenediol (3beta,17beta) disulfate (2)#Lipid#Androgenic Steroids,androstenediol (3beta,17beta) disulfate (2),Lipid,Androgenic Steroids,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,androstenediol (3beta,17beta) disulfate (2),androstenediol (3beta,17beta) disulfate (2),androstenediol (3beta,17beta) disulfate (2)
androstenediol (3beta,17beta) monosulfate (1)#Lipid#Androgenic Steroids,androstenediol (3beta,17beta) monosulfate (1),Lipid,Androgenic Steroids,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,androstenediol (3beta,17beta) monosulfate (1),androstenediol (3beta,17beta) monosulfate (1),androstenediol (3beta,17beta) monosulfate (1)
16a-hydroxy DHEA 3-sulfate#Lipid#Androgenic Steroids,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16a-hydroxy DHEA 3-sulfate
androsterone glucuronide#Lipid#Androgenic Steroids,androsterone glucuronide,Lipid,Androgenic Steroids,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,androsterone glucuronide
etiocholanolone glucuronide#Lipid#Androgenic Steroids,etiocholanolone glucuronide,Lipid,Androgenic Steroids,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,etiocholanolone glucuronide
androstenediol (3alpha, 17alpha) monosulfate (3)#Lipid#Androgenic Steroids,androstenediol (3alpha, 17alpha) monosulfate (3),Lipid,Androgenic Steroids,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,androstenediol (3alpha, 17alpha) monosulfate (3)
11beta-hydroxyandrosterone glucuronide#Lipid#Androgenic Steroids,11beta-hydroxyandrosterone glucuronide,Lipid,Androgenic Steroids,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11beta-hydroxyandrosterone glucuronide
ascorbate (Vitamin C)#Cofactors and Vitamins#Ascorbate and Aldarate Metabolism,ascorbate (Vitamin C),Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,ascorbate (Vitamin C),ascorbate (Vitamin C),NA,ascorbate (Vitamin C),NA,ascorbate (Vitamin C),NA,NA,ascorbate (Vitamin C),ascorbate (Vitamin C),ascorbate (Vitamin C),ascorbate (Vitamin C),ascorbate (Vitamin C),ascorbate (Vitamin C),ascorbate (Vitamin C)
threonate#Cofactors and Vitamins#Ascorbate and Aldarate Metabolism,threonate,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,threonate,threonate,NA,threonate,NA,threonate,NA,NA,NA,NA,threonate,threonate,threonate,threonate,threonate
arabonate#Cofactors and Vitamins#Ascorbate and Aldarate Metabolism,arabonate,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,NA,NA,NA,arabonate,NA,NA,NA,NA,NA,NA,arabonate,arabonate,NA,NA,NA
dehydroascorbate#Cofactors and Vitamins#Ascorbate and Aldarate Metabolism,dehydroascorbate,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,NA,NA,NA,dehydroascorbate,dehydroascorbate,dehydroascorbate,NA,NA,NA,NA,NA,NA,dehydroascorbate,dehydroascorbate,dehydroascorbate
gulono-1,4-lactone#Cofactors and Vitamins#Ascorbate and Aldarate Metabolism,gulono-1,4-lactone,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,NA,NA,NA,gulono-1,4-lactone,NA,NA,NA,NA,NA,NA,NA,gulono-1,4-lactone,NA,NA,NA
oxalate (ethanedioate)#Cofactors and Vitamins#Ascorbate and Aldarate Metabolism,oxalate (ethanedioate),Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,NA,NA,NA,oxalate (ethanedioate),NA,oxalate (ethanedioate),NA,NA,NA,NA,NA,NA,oxalate (ethanedioate),oxalate (ethanedioate),oxalate (ethanedioate)
ascorbic acid 2-sulfate#Cofactors and Vitamins#Ascorbate and Aldarate Metabolism,ascorbic acid 2-sulfate,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,NA,NA,NA,NA,NA,ascorbic acid 2-sulfate,NA,NA,NA,NA,NA,NA,NA,NA,ascorbic acid 2-sulfate
gulonate*#Cofactors and Vitamins#Ascorbate and Aldarate Metabolism,gulonate*,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,NA,NA,NA,NA,NA,gulonate*,NA,NA,NA,NA,NA,NA,gulonate*,gulonate*,gulonate*
glucarate (saccharate)#Cofactors and Vitamins#Ascorbate and Aldarate Metabolism,glucarate (saccharate),Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glucarate (saccharate),NA,NA,NA
ascorbic acid 3-sulfate*#Cofactors and Vitamins#Ascorbate and Aldarate Metabolism,ascorbic acid 3-sulfate*,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ascorbic acid 3-sulfate*
2-O-methylascorbic acid#Cofactors and Vitamins#Ascorbate and Aldarate Metabolism,2-O-methylascorbic acid,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2-O-methylascorbic acid
lactobacillic acid#Xenobiotics#Bacterial/Fungal,lactobacillic acid,Xenobiotics,Bacterial/Fungal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lactobacillic acid,lactobacillic acid,NA
2-hydroxyhippurate (salicylurate)#Xenobiotics#Benzoate Metabolism,2-hydroxyhippurate (salicylurate),Xenobiotics,Benzoate Metabolism,2-hydroxyhippurate (salicylurate),2-hydroxyhippurate (salicylurate),NA,NA,NA,NA,NA,NA,NA,NA,2-hydroxyhippurate (salicylurate),2-hydroxyhippurate (salicylurate),2-hydroxyhippurate (salicylurate),2-hydroxyhippurate (salicylurate),2-hydroxyhippurate (salicylurate)
3-hydroxyhippurate#Xenobiotics#Benzoate Metabolism,3-hydroxyhippurate,Xenobiotics,Benzoate Metabolism,3-hydroxyhippurate,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-hydroxyhippurate,3-hydroxyhippurate,3-hydroxyhippurate,3-hydroxyhippurate,3-hydroxyhippurate
4-ethylphenylsulfate#Xenobiotics#Benzoate Metabolism,4-ethylphenylsulfate,Xenobiotics,Benzoate Metabolism,4-ethylphenylsulfate,NA,NA,NA,NA,NA,4-ethylphenylsulfate,4-ethylphenylsulfate,NA,NA,4-ethylphenylsulfate,NA,NA,NA,4-ethylphenylsulfate
4-nitrophenol#Xenobiotics#Benzoate Metabolism,4-nitrophenol,Xenobiotics,Benzoate Metabolism,4-nitrophenol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
benzoate#Xenobiotics#Benzoate Metabolism,benzoate,Xenobiotics,Benzoate Metabolism,benzoate,NA,NA,benzoate,NA,NA,NA,NA,benzoate,NA,benzoate,benzoate,benzoate,benzoate,benzoate
catechol sulfate#Xenobiotics#Benzoate Metabolism,catechol sulfate,Xenobiotics,Benzoate Metabolism,catechol sulfate,catechol sulfate,NA,catechol sulfate,NA,catechol sulfate,NA,NA,catechol sulfate,NA,catechol sulfate,catechol sulfate,catechol sulfate,catechol sulfate,catechol sulfate
hippurate#Xenobiotics#Benzoate Metabolism,hippurate,Xenobiotics,Benzoate Metabolism,hippurate,hippurate,NA,hippurate,NA,hippurate,NA,NA,hippurate,hippurate,hippurate,hippurate,hippurate,hippurate,hippurate
methyl-4-hydroxybenzoate#Xenobiotics#Benzoate Metabolism,methyl-4-hydroxybenzoate,Xenobiotics,Benzoate Metabolism,methyl-4-hydroxybenzoate,methyl-4-hydroxybenzoate,NA,NA,NA,NA,NA,NA,NA,NA,methyl-4-hydroxybenzoate,NA,NA,NA,NA
4-methylcatechol sulfate#Xenobiotics#Benzoate Metabolism,4-methylcatechol sulfate,Xenobiotics,Benzoate Metabolism,NA,NA,NA,NA,NA,4-methylcatechol sulfate,NA,NA,NA,NA,4-methylcatechol sulfate,NA,4-methylcatechol sulfate,4-methylcatechol sulfate,4-methylcatechol sulfate
methyl-4-hydroxybenzoate sulfate#Xenobiotics#Benzoate Metabolism,methyl-4-hydroxybenzoate sulfate,Xenobiotics,Benzoate Metabolism,NA,NA,NA,NA,NA,methyl-4-hydroxybenzoate sulfate,methyl-4-hydroxybenzoate sulfate,methyl-4-hydroxybenzoate sulfate,NA,NA,NA,NA,methyl-4-hydroxybenzoate sulfate,methyl-4-hydroxybenzoate sulfate,methyl-4-hydroxybenzoate sulfate
4-hydroxyhippurate#Xenobiotics#Benzoate Metabolism,4-hydroxyhippurate,Xenobiotics,Benzoate Metabolism,NA,NA,NA,NA,NA,NA,4-hydroxyhippurate,4-hydroxyhippurate,NA,4-hydroxyhippurate,NA,4-hydroxyhippurate,4-hydroxyhippurate,4-hydroxyhippurate,4-hydroxyhippurate
4-vinylphenol sulfate#Xenobiotics#Benzoate Metabolism,4-vinylphenol sulfate,Xenobiotics,Benzoate Metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4-vinylphenol sulfate,NA,NA,NA,4-vinylphenol sulfate
O-methylcatechol sulfate#Xenobiotics#Benzoate Metabolism,O-methylcatechol sulfate,Xenobiotics,Benzoate Metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,O-methylcatechol sulfate,NA,NA,NA,NA
guaiacol sulfate#Xenobiotics#Benzoate Metabolism,guaiacol sulfate,Xenobiotics,Benzoate Metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,guaiacol sulfate,guaiacol sulfate,guaiacol sulfate
4-aminohippurate#Xenobiotics#Benzoate Metabolism,4-aminohippurate,Xenobiotics,Benzoate Metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4-aminohippurate
3-methyl catechol sulfate (1)#Xenobiotics#Benzoate Metabolism,3-methyl catechol sulfate (1),Xenobiotics,Benzoate Metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-methyl catechol sulfate (1)
3-methoxycatechol sulfate (1)#Xenobiotics#Benzoate Metabolism,3-methoxycatechol sulfate (1),Xenobiotics,Benzoate Metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-methoxycatechol sulfate (1)
propyl 4-hydroxybenzoate sulfate#Xenobiotics#Benzoate Metabolism,propyl 4-hydroxybenzoate sulfate,Xenobiotics,Benzoate Metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,propyl 4-hydroxybenzoate sulfate
o-cresol sulfate#Xenobiotics#Benzoate Metabolism,o-cresol sulfate,Xenobiotics,Benzoate Metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,o-cresol sulfate
